sarcasm,Text
1,"Liberals will not buy this book, so their opinion is worthless. Besides most of them cant even read clearly enough to get the joke."
1,"Don't belive the marketing hype. It's not worth the money. Ever wonder why consumer reports ranks the cleaning ability of the Dyson as average? Because it is. Consumer reports is dead on in their review. It's just not that good of a cleaner. Sure it looks cool and you can park it in the driveway to impress your neighbors... but as far as cleaning my carpets, this vacuum sucks - Not in a good way."
1,"(it got a 1 star rating) Very nice folds, and creative too that has been touched and folded a dozen times by another person's hands?! (its an origami book) Stick to napkins and towels, or the very basic of toilet paper folds"
1,Do yourself a favor and avoid this movie like it was guaranteed to infect you with the Bubonic Plague.
1,"His argument based on his failure as a little league baseball coach. Apparently, Klosterman tried to be one of those hyper-intense coaches who tried to work out his own personal daddy issues by trying to turn a team of 9 year olds into a finely tuned baseball machine. Because this didn't work out, and Klosterman might have a problem with women, soccer will never make it big in America. Um, okay. - Klosterman's discussion of math and probability would embarass a stoned 16 year old with it's facile reasoning."
1,"Panasonic failed to update its marketing details for this model. It was sold with the promise of full compatibility with Viera Cast, with a URL listed. When one goes to the Viera Cast Web site to find out what Viera Cast includes, they see Netflix and Skype, with NO mention that these only work on *certain* models. They may not be making more of these models, but they are still in circulation, being sold new at places like Walmart. Only after a person checks numerous sites for reviews, and googles tech news, does one learn that Netflix and Skype are not included. Deceptive, wrong and infuriating. If our wii from several years ago can integrate Netflix, Panasonic should be able to do the same. They also promised that Viera Cast would be upgradeable, so that buyers of the original models did not have to worry about their model being obsolete. Liars. I will never buy another Panasonic product. There are plenty of other brands that are loyal to their customers."
1,"The story is derivative and cliche beyond belief. There isnt a tense or emotional moment in the entire movie. Its pacing is laborious and predictable. Theres so many laughable things about this movie. (Hair as a phallic interface..are you kidding?) The entire story is Dances With Wolves on an alien planet. (Whos native population speak english...of course) The dialog is right up there with Armageddon and Independence Day, yes...pure genius. Neon plants, hammerhead rhinos and glowing vines do not a movie make....its a dull story, VERY predictable and cringe worthy. I mean..""Get Some"" and ""Take that Bitch""..? Really? I havent laughed so hard since Battlefield Earth."
1,"So I'm in the bar, having a good time, and I had to pee like a race horse. I go into the bathroom, and doing my business. As I turn to walk out, I sneezed extremely loud. This scared the hell out of the guy washing his hands in front of me. As he went to look at me, he saw my breakthrough wolf shirt, and actually thought he was being attacked by a real wolf! he immediately pulled out a pistol and shot me right in my chest. Me and the guy who shot me now joke about what happened, but I'm pretty sure that the designer of this t-shirt should make it a little less real looking as not to cause hunters or scared bar patrons to whip out rifles or pistols to disable the threat of the attacking wolf."
1,"""'I was one of the many people who waited in line all night November 18, 2006 for the Nintendo Wii.'"" ""'The Wii has its ups, and its downs, but for me personally, it has been a disappointment. '"""
1,"If you've seen the trailer, well, then, that's all you need to watch. I know I'll probably get severely ragged on for this review, but the truth is that it's sentimental in a really saccharine and smothering way. If you're not a die-hard romantic movie fan, stay away, or you'll roll your eyes right out of their sockets."
1,Perhaps it grows in Canada but not Washington State!!
1,"I have to say, I was somewhat disappointed to find this pen doesn't actually write on poo. I'll have to find some other way to label my collection! B"
1,"I bought this waffle maker for my lady friend on christmas. I am not a christian, but I like the day off and like to get gifts. Since i bought her the waffle maker she has made me waffles two times. If I never eat waffles again, they would have cost me an average of $38. I would be fine with that, but we all know thats not gonna happen, for I have a good woman and when I say waffles, I get waffles. When I say waffles, she knows I mean Waring Pro WMK300 Belgian Waffles. If only Waring Pro would invent a lasagna maker she wouldn't have that fat lip."
1,Isn't it ironic this author is in this slot after the Overton Window is released. Hmmmmm
1,"While the Three Wolf Moon shirt gives the viewer and wearer a sense of community, Howling Wolf T-shirt is for the true loner. It's for the outcasts in our society, it's for every man or woman who ever looked into that vast night sky and realized nobody else was by their side to howl along with them. I shall forevermore walk the night on my own, killing to live. Then, as if in answer, the moon vanished behind a cloud. A soft voice spoke behind me. ""You shall never walk alone."" It all seems a bit like a Green Day lyric when I describe it here, but it was profound beyond mere words. Standing before me was a woman cloaked in translucent white garments that revealed the feminine curves of her ample-bosomed frame. She looked at me with benevolence and love, and suddenly I was aware that my moroseness and ennui had left me at last."
1,"Stumbling across this t shirt is like stumbling across the Shroud of Turin; the moment i put it on, i was healed of frequent ataxia, confusion, euphoria, headache, insomnia, vertigo agitation, anxiety, decreased cognition, detached, difficulty concentrating, dysarthria, emotional lability, hallucination..."
1,"But no...this is a stupid rubber wallet that looks like TOAST. Oh, How Funny. I go to pull out a credit card and baffle hapless clerks with my novely wallet. Oh! Do not pay me with toast, sir, says the pimply-faced teenager with the cracking voice but Ahah! It is not toast, it is my wallet, you moron! Why they don't offer one with rubber bacon, I'll never understand."
1,"Presidents (and those aspiring) these days cannot live as real people. Like the Gods of Greek legend, they have to live in a mythology of their own creation. A Mythology is usually created to explain what is beyond the comprehension of the normal human or to hide secrets that ""mere mortals"" must be protected from. This book presents the life of Hillary Rodham Clinton as a mythology. If your a candidate for president today, one of the requirements is a book that tells a false inspirational version of your life story. The books spin every event in the person's life to make political points or to shore up what the campaign considers weaknesses. In saying this, I'm singling out this book or Hillary Clinton. She is by far not the only candidate with a book like this out right now. The strange thing about Hillary Clinton is that almost nobody really knows her. This book doesn't help. Bernstein follows the established baby boomer script. She was born in an imaginary world of the 1950s that showed up in educational films and the TV show ""Happy Days"". Like all Boomers, she had a bad father who we are now told was more abusive and cruel than we were told he was before. Her mother was (by the script) a good caring person. Then she discovers the civil rights movement, Martin Luther King Jr and the turmoil of the 1960s. Thats the script, but it never really happened that way. From other books, the more accurate picture is of the churchy ""good girl"" from the midwest whose political beliefs were rooted in an attempt to make the world better by ""good works""."
1,"""pretty sure my IQ dropped trying to read this...,"" ""Save yourself the time and brain cells and pick up a book by someone other than a former MTV reality star."""
1,"I suppose my first clue this watch would be a problem is that it came with a manual almost an inch thick. Regardless, I bought this watch primarily for its altimeter. I was attracted to it b/c it uses a solar cell (no battery changes and recalibration every coupel years), and the Atomic time synching. Unfortunately, the altimeter has never worked properly. At about 10,000 feet, it simply bugs out. Casio customer service could not figure it out, and now my watch is gone for the summer, having been returned to Casio for them to try to figure out the problem and repair it."
1,"Where do I start? It used to be that, if you wanted a quality device and didn't mind paying for it, Garmin was the way to go. Now they've clearly caved to the pressure of less expensive options and are putting out sub-par products. To demonstrate their desperation, this device now comes with what Garmin calls ""coupons"" for nearby products. One of these ""coupons"" was for a food chain and said merely ""Come try our many seafood creations."" That's not a ""coupon."" That's an ad. And, I don't want ads popping up while I'm driving. Next, in case you want to use your Garmin GPS to (of all things) TRAVEL, you now need to buy a travel case separately. And, Garmin is more than happy to fill that need for you for and extra $20-30. Bogus"
1,"But like most speaker manufacturers, their subs are horrible for the money. Why? Because they are betting that if you are already buying their speakers, you'll likely want to buy one of their subs too, especially if some slimey and/or ignorant salesperson tells you that you MUST ""match"" the sub and speakers. This PSW10 is a prime example. If you are in a small room and listening to jazz or rock music, it's not too bad. Use it while blasting hip-hop, or watching a special-effects loaded movie like ""Jurassic Park"" or ""Fellowship of the Ring"" and you won't even know it's there---it simply does not go low enough nor loud enough (let's not even talk about if it's clean enough) to do the job. The only worse mass-market subs For this price range you can do much better looking at the 12"" Dayton subwoofer from partsexpress dot com which goes for under a hundred fifty dollars shipped."
1,Gentlemen if you are looking to experience the pains of a child's birth from a woman's perspective this is the product for you. Never again.
1,"Hey kids! If you're looking for music that's as satisfying and refreshing as a frozen sugar cube, deeper than a pool that's a foot deep and more exciting than watching paint dry, look no further than Rihanna's album, A Girl Like Me! Listen to her wonderful studio-altered, digitally processed voice! Gasp at the thought-provoking lyrics about needing to be rescued, falling in love and wanting to make love all night long! Marvel at the synths, bleeps and squiggly sound effects that represent real reggae! Forget no-good corporate hacks like Bob Marley, Peter Tosh, Dennis Brown, Damian Marley, I Wayne and Sizzla, because Rihanna is the real deal and she wants you, boys! What an astounding, brilliant, masterfully crafted work of perfection! I like music, and I like Rihanna! She's just as brilliant as amazing artists like Britney Spears, Good Charlotte and Simple Plan! They should all tour together, how great would that be? ... I can just imagine these comments from the director at one of her video shoots: ""Hey, Rihanna, what are you doing out here in your underwear? Didn't that outfit that we ordered arrive yet? What's that? The record label wouldn't front the money to cover the cost of the wardrobe? Oh well, I guess we'll shoot anyway. One thing is certain: The teenage boys will love this video."". In summary: A Girl Like Me is only worth checking out if you can't get enough of banal, vacuous pop garbage."
1,"I guess we'll have to go out for waffles today. Hey Waring, you might want to re-think your engineering department! It's a waffle maker...not the Space Shuttle...how hard could it be to make it last more than 20 cycles?!"
1,"Who would've thought that a conglomeration of sheep's hearts, lungs, and liver mixed with oats could taste so good?"
1,"Eternity could never be as long as this book, which I endured to its soporific, boring end. I recommend it to hold up the end of a busted sofa!"
1,"Timeless works often suffer at the hands of translators. One thinks of the numerous and continuing attempts to render Dante's ""Divina Commedia"" (another early vernacular Italian masterpiece and contemporary to the justifiably obscure Tuscana Latte series) and the struggle with both terza rima and meaning. No so for Tuscan Whole Milk (""La tutta latte""). Few works are better left where they were found, their authors condemned and eventually flogged. This translation of the redredged third valume of the series was committed by Sir John Stilton, the inebriated English librettist for two of the earliest publicly-immolated operas by P.D.Q Bach, themselves loosely based, in part, on the Tuscan series and ""Mechanicae Popularum"": ""Die Fliegende Kuhe"" and ""Das Zaubereuter"", both banned before their opening nights sometime in the early 1760s. That Stilton translated the Tuscan series at all was no mere stroke of misfortune. He was a cousin of Leopold von Emmenthaler, present at the Great Flushing of the Florentine sewers in 1755. As recounted in his memoir ""Besottene Reisen"", returning to his rooms late one night from a drinking binge, Leopold fell into an open ditch which drained into the Arno, but had been clogged. He was saved from drowning in the filth by the floating obstruction created by a massive snarl of wig hair and old used manuscripts -- part of which would later be tragically identified as the only complete copy of ""Tuscan."" Inspired to further drink by the experience, Leopold vowed to champion the mysterious work. He passed it to Stilton in a stupor sometime in 1759. Though arrested, Leopold was never proscuted for the act and he fled to his native Limburg. Rarely misunderstood and best left un-retold, ""Whole Milk"" is the culminating volume of the Tuscan series, but can be read (if necessary) as a standalone work, as both Skim (""Scremato"" or ""Senza Grassi"") and Two-Percent (""Cauto"") are diatribes on celibacy and vegetables respectively. A tale of love, betrayal, and gastrointestinal distress, it is in this infamous portion of the ""work"" that Contessa Bessi meets the cowherd Giovanni de Sargento (the cloaked ""Count Grasso"") and confronts him with the immortal question ""Gotta de latte?"" This dubiuosly romantic passage is considered by some scholars as the inspiration for later poetry (e.g. Wordsworth's ""I Wandered Lonely as a Cow"" (1804); Dickinson's ""#255"", (""""Cow"" is the thing with horns."" (1867)), books (""Care of Dairy Cattle in Central Peru"" (1843); Proust's ""Du Cafe chez Vache"" (1914)), and even movies (among them ""Cud"" (1963) with Paul Newman and Patricia Neal; ""El Cud,"" (1961) with Charlton Heston and Sophia Loren; and ""The Guns of Navorone"" (1961) with Gregorgy Peck and Anthony Quinn). This Stilton translation of Tuscan Whole Milk remains one of the more curdling, if only because he manages to improve the flavor of the work to the point that more innocent readers might be unwittingly exposed to it. It is clear that Stilton spoke little Italian, certainly not the 14th century vernacular of the region, and had no concept of style and structure. It is not certain that he was even completely literate in English. One star for calcium."
1,"No ordinary truck, this one was Holy White, and the gold Delivery logo sparkled like a thousand suns reflected through shards of the purest ice formed with unadulterated water collected at the beginning of the universe. The driver, clad in a robe colored the softest of white, floated towards me on the cool fog of a hundred fire extinguishers. He smiled benevolently, like a father looking down upon his only child, and handed me a package wrapped in gold beaten thin to the point where you could see through it. I didn't have to sign, because the driver could see within my heart, and knew that I was pure. Upon opening the package, an angelic choir started to sing, and reached a crescendo as I laid this cable on my stereo system. Instantly, my antiquated equipment transformed into components made from the clearest diamond-semiconductor."
1,"""Basically, if you are planning to do anything other than look at this gamepad, which isn't too pretty anway, don't purchase this"""
1,"""The Room is the greatest film ever produced."" ""His foresight knows know limits. He will plunder your heart and soul and leave you on the floor, breathless, panting for more of his vivid and penetrating mis-en-scene and astute aural pleasure enchanted with both harmony and discord."""
